"ImmuneProcesses","interaction","JanewayReferences","name","selected","shared interaction","shared name","SourceReceptors","TargetReceptors"
"Allergic Inflammation, Inflammation, Tissue remodeling","Secrete","614: Mast-cell degranulation begins within seconds of antigen binding, releasing an array of preformed and newly generated inflammatory mediators (Fig. 14.9). Granule contents include the short-lived vasoactive amine histamine, serine esterases, and proteases such as chymase and tryptase.; 614: Table Figure 14.9; 615: Mast cells in mucosal epithelia express tryptase as their primary serine protease. These cells are designated MCT.","Mast (Secrete) Tryptase","false","Secrete","Mast (Secrete) Tryptase","",""
"Vascular permeability increase, Inflammation","Secrete","618-619: The late-phase reaction is caused by the continued synthesis and release of inflammatory mediators by mast cells, especially vasoactive mediators such as calcitonin gene-related peptide (CGRP) and vascular endothelial growth factor (VEGF), which cause vasodilation and vascular leakage that result in edema and the recruitment of eosinophils, basophils, monocytes, and lymphocytes.","Mast (Secrete) VEGF","false","Secrete","Mast (Secrete) VEGF","",""
"","Survive","664: IFN-a increases BAFF production by monocytes and dendritic cells, and BAFF interacts with receptors on B cells. Excess BAFF can increase autoreactive B-cell survival, leading to increased autoantibody  production (lower panel).","Monocyte (Survive) B","false","Survive","Monocyte (Survive) B","BAFF",""
"Inflammation, Type 2","Secrete","112: Table Figure 3.28","Monocyte (Secrete) CCL2","false","Secrete","Monocyte (Secrete) CCL2","",""
"Antiviral, Type 1","Secrete","112: Table Figure 3.28","Monocyte (Secrete) CCL3","false","Secrete","Monocyte (Secrete) CCL3","",""
"Antiviral","Secrete","112: Table Figure 3.28","Monocyte (Secrete) CCL4","false","Secrete","Monocyte (Secrete) CCL4","",""
"Inflammation","Secrete","112: Table Figure 3.28","Monocyte (Secrete) CX3CL1","false","Secrete","Monocyte (Secrete) CX3CL1","",""
"Inflammation, Fibroplasia, Angiogenesis","Secrete","112: Table Figure 3.28","Monocyte (Secrete) CXCL1","false","Secrete","Monocyte (Secrete) CXCL1","",""
"Inflammation, Fibroplasia, Angiogenesis","Secrete","112: Table Figure 3.28","Monocyte (Secrete) CXCL2","false","Secrete","Monocyte (Secrete) CXCL2","",""
"Inflammation, Fibroplasia, Angiogenesis","Secrete","112: Table Figure 3.28","Monocyte (Secrete) CXCL3","false","Secrete","Monocyte (Secrete) CXCL3","",""
"Inflammation, Angiogenesis","Secrete","112: Table Figure 112","Monocyte (Secrete) CXCL8","false","Secrete","Monocyte (Secrete) CXCL8","",""
"","Differentiate","727: In this therapy, a patient’s monocytes are extracted from peripheral blood and cultured with a fusion protein containing the antigen prostatic acid phosphatase (PAP), which is expressed by most prostate cancers, and the cytokine granulocyte–macrophage colony-stimulating factor (GM-CSF), which induces monocytes to undergo maturation to monocyte-derived dendritic cells.; 727: Similarly, tumor cells may be transfected with the gene encoding granulocyte–macrophage colony-stimulating factor (GM-CSF) in order to induce the maturation of tumor-proximal monocytes into monocyte derived dendritic cells.","Monocyte (Differentiate) DC","false","Differentiate","Monocyte (Differentiate) DC","",""
"Hematopoiesis","Secrete","811: Table Appendix III","Monocyte (Secrete) GCSF","false","Secrete","Monocyte (Secrete) GCSF","",""
"","Secrete","518: IL-1 and IL-6 produced by recently arrived monocytes are important for maintaining the survival and function of local TH17 cells.","Monocyte (Secrete) IL1","false","Secrete","Monocyte (Secrete) IL1","",""
"","Secrete","812: Table Appendix III","Monocyte (Secrete) IL19","false","Secrete","Monocyte (Secrete) IL19","",""
"","Secrete","811: Table Appendix III","Monocyte (Secrete) IL1RA","false","Secrete","Monocyte (Secrete) IL1RA","",""
"Type 2","Secrete","812: Table Appendix III","Monocyte (Secrete) IL20","false","Secrete","Monocyte (Secrete) IL20","",""
"Antitumor, Wound healing","Secrete","812: Table Appendix III","Monocyte (Secrete) IL24","false","Secrete","Monocyte (Secrete) IL24","",""
"","Secrete","812: Table Appendix III","Monocyte (Secrete) IL27","false","Secrete","Monocyte (Secrete) IL27","",""
"","Secrete","812: Table Appendix III","Monocyte (Secrete) IL32","false","Secrete","Monocyte (Secrete) IL32","",""
"Inflammation","Secrete","813: Table Appendix III","Monocyte (Secrete) IL35","false","Secrete","Monocyte (Secrete) IL35","",""
"","Secrete","813: Table Appendix III","Monocyte (Secrete) IL37","false","Secrete","Monocyte (Secrete) IL37","",""
"","Secrete","518: IL-1 and IL-6 produced by recently arrived monocytes are important for maintaining the survival and function of local TH17 cells.; 812: Induces IL-6 and TNF-a expression by monocytes","Monocyte (Secrete) IL6","false","Secrete","Monocyte (Secrete) IL6","",""
"Hematopoiesis, Type 1, Anti-IC bacteria, Inflammation","Differentiate","4: Figure 1.3; 460: New macrophages are recruited to the site of infection by the actions of secreted TNF-a, LT-a, and other cytokines on vascular endothelium, which signal monocytes to leave the bloodstream and enter the tissues where they become macrophages.; 632: Allergic contact dermatitis can be caused by the activation of CD4 or CD8 T cells, depending on the pathway by which the antigen is processed... During the sensitization phase, Langerhans cells in the epidermis and dendritic cells in the dermis take up and process antigen, and migrate to regional lymph nodes, where they activate T cells (see Fig. 9.13) with the  consequent production of memory T cells, which localize in the dermis. In the elicitation phase, a subsequent exposure to the sensitizing chemical leads to antigen presentation to memory T cells in the dermis, with the release of T-cell cytokines such as IFN-<U+03B3> and IL-17. This stimulates the keratinocytes of the epidermis to release IL-1, IL-6, TNF-a, GM-CSF, the chemokine CXCL8, and the interferon-inducible chemokines CXCL11 (IP-9), CXCL10 (IP-10), and CXCL9 (Mig, a monokine induced by IFN-<U+03B3>). These cytokines and chemokines enhance the inflammatory response by inducing the migration of  monocytes into the lesion and their maturation into macrophages, and by attracting more T cells","Monocyte (Differentiate) Macrophage","false","Differentiate","Monocyte (Differentiate) Macrophage","",""
"Antimicrobial","Activate","246-247: One small family of such genes is called CD1 and is expressed on dendritic cells, monocytes, and some thymocytes... These CD1-restricted T cells are called invariant NKT (iNKT) cells.","Monocyte (Activate) T_NKT","false","Activate","Monocyte (Activate) T_NKT","CD1","TCR"
"Immunosuppression, Class switching","Secrete","813: Table Appendix III","Monocyte (Secrete) TGFb","false","Secrete","Monocyte (Secrete) TGFb","",""
"","Secrete","812: Induces IL-6 and TNF-a expression by monocytes","Monocyte (Secrete) TNFa","false","Secrete","Monocyte (Secrete) TNFa","",""
"Apoptosis","Secrete","813: Table Appendix III","Monocyte (Secrete) Trail","false","Secrete","Monocyte (Secrete) Trail","",""
"Licensing","Activate","470: Some infectious agents, such as the intracellular Gram-positive bacterium Listeria monocytogenes and the Gram-negative bacterium Burkholderia pseudomallei, appear to be able to directly license dendritic cells to induce primary CD8 T-cell responses without requirement for CD4 T-cell help (Fig. 11.21).","Bacteria (Activate) DC","false","Activate","Bacteria (Activate) DC","",""
"Microbiome tuning of immune response, Tolerance","Activate","524: Figure 12.23","Bacteria (Activate) Epithelial","false","Activate","Bacteria (Activate) Epithelial","",""
"Anti-EC bacteria, Antifungal, Type 3, Barrier integrity, Antibacterial, Antimicrobial","Secrete","473: TH17 cells are integral to the clearance of extracellular bacteria and fungi, by orchestrating sustained neutrophil recruitment and production of antimicrobial peptides by epithelial cells of barrier tissues such as the intestines, lungs, and skin.; 452: IL-22 acts on epithelial cells to induce their production of antimicrobial peptides (AMPs) and promote enhanced barrier integrity.; 465: IL-17 and IL-22 produced by TH17 cells induce the production of antimicrobial peptides by epithelial cells  ->  Direct killing or growth inhibition of bacteria attached to the epithelium; 510: Effector TH17 cells are prominent in the intestinal mucosa, and their products are important components of local immune defense. IL-17 is needed for full expression of the poly-immunoglobulin receptor involved in secretion of IgA into the lumen, while IL-22 stimulates intestinal epithelial cells to produce antimicrobial peptides that help maintain epithelial barrier integrity.; 510: In response to IL-23 secreted by local dendritic cells, ILC3s produce IL-22, which stimulates the epithelium to generate antimicrobial peptides that promote local defense against bacterial and fungal pathogens in the intestine.; 46: The second group of antimicrobial agents secreted by epithelial cells and phagocytes is the antimicrobial peptides. These represent one of the most ancient forms of defense against infection. Epithelial cells secrete these peptides into the fluids bathing the mucosal surface, whereas phagocytes secrete them in tissues.","Epithelial (Secrete) Antimicrobial peptides","false","Secrete","Epithelial (Secrete) Antimicrobial peptides","",""
